dim_1,dim_2,dim_3,value
2,11,14,0
2,11,15,0
2,11,16,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,12,5,0
2,12,6,0
2,12,7,0
2,12,8,0
2,12,9,0
2,12,10,0
2,12,11,0
2,12,12,0
2,12,13,0
2,12,14,0
2,12,15,0
2,12,16,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,13,5,0
2,13,6,0
2,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
2,13,11,0
2,13,12,0
2,13,13,0
2,13,14,0
2,13,15,0
2,13,16,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
2,14,5,0
2,14,6,0
2,14,7,0
2,14,8,0
2,14,9,0
2,14,10,0
2,14,11,0
2,14,12,0
2,14,13,0
2,14,14,0
2,14,15,0
2,14,16,0
2,15,1,0
2,15,2,0
2,15,3,0
2,15,4,0
2,15,5,0
2,15,6,0
2,15,7,0
2,15,8,0
2,15,9,0
2,15,10,0
2,15,11,0
2,15,12,0
2,15,13,0
2,15,14,0
2,15,15,0
2,15,16,0
2,16,1,0
2,16,2,0
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,16,14,0
2,16,15,0
2,16,16,0
3,1,1,394152928099747904
3,1,2,544418154124540480
3,1,3,54611267471840960
3,1,4,147949306818000.3125
3,1,5,3742666286289.51416015625
3,1,6,75838926375.907623291015625
3,1,7,316469743.4262122511863708
3,1,8,7118044.3343283720314503
3,1,9,0.1249204621849307
3,1,10,0
3,1,11,0
3,1,12,0
3,1,13,0
3,1,14,0
3,1,15,0
3,1,16,0
3,2,1,4974079920588747776
3,2,2,6877313062152014848
3,2,3,692168704614274048
3,2,4,1965889088884638
3,2,5,50627764962077.328125
3,2,6,1035840735246.5294189453125
3,2,7,4525642201.9941225051879883
3,2,8,101792183.8769879639148712
3,2,9,2.8155307409371422
3,2,10,0
3,2,11,0
3,2,12,0
3,2,13,0
3,2,14,0
3,2,15,0
3,2,16,0
3,3,1,43412608909895639040
3,3,2,60078858861354991616
3,3,3,6065028633233177600
3,3,4,17967822651957536
3,3,5,470279755970518.875
3,3,6,9708693775499.0078125
3,3,7,44219174377.7312164306640625
3,3,8,994617240.3012192249298096
3,3,9,43.0464772555679218
3,3,10,0
3,3,11,0
3,3,12,0
3,3,13,0
3,3,14,0
3,3,15,0
3,3,16,0
3,4,1,300232350203785641984
3,4,2,415858293478909870080
3,4,3,42103464771668631552
3,4,4,129770641673141248
3,4,5,3449240558238609
3,4,6,71832774335415.0625
3,4,7,340355744102.51483154296875
3,4,8,7655919192.9690675735473633
3,4,9,525.8447278610590274
3,4,10,0
3,4,11,0
3,4,12,0
3,4,13,0
3,4,14,0
3,4,15,0
3,4,16,0
3,5,1,1646461941746563809280
3,5,2,2282472230900763459584
3,5,3,231733511298474180608
3,5,4,741560453497292544
3,5,5,20005184106974632
3,5,6,420225944385104.875
3,5,7,2068518942043.464111328125
3,5,8,46532239711.4863967895507812
3,5,9,5227.356292769583888
3,5,10,0
3,5,11,0
3,5,12,0
3,5,13,0
3,5,14,0
3,5,15,0
3,5,16,0
3,6,1,6827416541473552728064
3,6,2,9472145877723659632640
3,6,3,964178450146117550080
3,6,4,3195219155319562240
3,6,5,87439338686319968
3,6,6,1852399331674684
3,6,7,9461293108432.822265625
3,6,8,212858865638.01995849609375
3,6,9,41175.0096124978445005
3,6,10,0
3,6,11,0
3,6,12,0
3,6,13,0
3,6,14,0
3,6,15,0
3,6,16,0
3,7,1,19411032208509023289344
3,7,2,26947156641550327349248
3,7,3,2748820936077347389440
3,7,4,9389520266003339264
3,7,5,260441831453609152
3,7,6,5563209156760156
3,7,7,29440876873087.1875
3,7,8,662466780965.5364990234375
3,7,9,242056.5573633160965983
3,7,10,0
3,7,11,0
3,7,12,0
3,7,13,0
3,7,14,0
3,7,15,0
3,7,16,0
3,8,1,30546502388258118303744
3,8,2,42411364475608303140864
3,8,3,4328920481171958136832
3,8,4,15038209768546371584
3,8,5,421966639742441152
3,8,6,9081934995466910
3,8,7,49659344050034.046875
3,8,8,1117715776416.193603515625
3,8,9,945663.5917373013217002
3,8,10,0
3,8,11,0
3,8,12,0
3,8,13,0
3,8,14,0
3,8,15,0
3,8,16,0
3,9,1,12213591678615709286400
3,9,2,16890050062840231886848
3,9,3,1703143220071249215488
3,9,4,5357417521534205952
3,9,5,149539874027595936
3,9,6,3221494578308377
3,9,7,17820174129995.65625
3,9,8,401391710185.020263671875
3,9,9,1843008.9776010154746473
3,9,10,0
3,9,11,0
3,9,12,0
3,9,13,0
3,9,14,0
3,9,15,0
3,9,16,0
3,10,1,0
3,10,2,0
3,10,3,0
3,10,4,0
3,10,5,0
3,10,6,0
3,10,7,0
3,10,8,0
3,10,9,0
3,10,10,0
3,10,11,0
3,10,12,0
3,10,13,0
3,10,14,0
3,10,15,0
3,10,16,0
3,11,1,0
3,11,2,0
3,11,3,0
3,11,4,0
3,11,5,0
3,11,6,0
3,11,7,0
3,11,8,0
3,11,9,0
3,11,10,0
3,11,11,0
3,11,12,0
3,11,13,0
3,11,14,0
3,11,15,0
3,11,16,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,12,5,0
3,12,6,0
3,12,7,0
3,12,8,0
3,12,9,0
3,12,10,0
3,12,11,0
3,12,12,0
3,12,13,0
3,12,14,0
3,12,15,0
3,12,16,0
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,13,5,0
3,13,6,0
3,13,7,0
3,13,8,0
3,13,9,0
3,13,10,0
3,13,11,0
3,13,12,0
3,13,13,0
3,13,14,0
3,13,15,0
3,13,16,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
3,14,5,0
3,14,6,0
3,14,7,0
3,14,8,0
3,14,9,0
3,14,10,0
3,14,11,0
3,14,12,0
3,14,13,0
3,14,14,0
3,14,15,0
3,14,16,0
3,15,1,0
3,15,2,0
3,15,3,0
3,15,4,0
3,15,5,0
3,15,6,0
3,15,7,0
3,15,8,0
3,15,9,0
3,15,10,0
3,15,11,0
3,15,12,0
3,15,13,0
3,15,14,0
3,15,15,0
3,15,16,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,16,11,0
3,16,12,0
3,16,13,0
3,16,14,0
3,16,15,0
3,16,16,0
4,1,1,97188342245777344
4,1,2,134608991186151376
4,1,3,13616469958935404
4,1,4,39894326835612
4,1,5,1019012259256.886474609375
4,1,6,20720177470.5750885009765625
4,1,7,87712427.5837892591953278
4,1,8,1972799.3629858503118157
4,1,9,0.0369231593291244
4,1,10,0
4,1,11,0
4,1,12,0
4,1,13,0
4,1,14,0
4,1,15,0
4,1,16,0
4,2,1,1225502183413846528
4,2,2,1699238586216983552
4,2,3,172512486431314688
4,2,4,530754536812661.6875
4,2,5,13813936790693.265625
4,2,6,283771523039.44921875
4,2,7,1260252353.5110650062561035
4,2,8,28345577.3405719846487045
4,2,9,0.8396100642852929
4,2,10,0
4,2,11,0
4,2,12,0
4,2,13,0
4,2,14,0
4,2,15,0
4,2,16,0
4,3,1,10687200681109692416
4,3,2,14833490343196729344
4,3,3,1510952564258257664
4,3,4,4856021925672472
4,3,5,128556069598613.59375
4,3,6,2666086720757.40087890625
4,3,7,12365398098.9050865173339844
4,3,8,278130065.8013158440589905
4,3,9,12.9404964577824781
4,3,10,0
4,3,11,0
4,3,12,0
4,3,13,0
4,3,14,0
4,3,15,0
4,3,16,0
4,4,1,73842563767259987968
4,4,2,102590514180318806016
4,4,3,10483297381692809216
4,4,4,35102993553897872
4,4,5,944455901107084.25
4,4,6,19768943872512.19140625
4,4,7,95545434952.4369049072265625
4,4,8,2149168582.3779635429382324
4,4,9,159.2636210895236957
4,4,10,0
4,4,11,0
4,4,12,0
4,4,13,0
4,4,14,0
4,4,15,0
4,4,16,0
4,5,1,404486551282782371840
4,5,2,562483743881918152704
4,5,3,57654768348408758272
4,5,4,200728152597821920
4,5,5,5485591655868576
4,5,6,115875155965165.4375
4,5,7,582747196254.496337890625
4,5,8,13109134461.4276485443115234
4,5,9,1594.2788453750015378
4,5,10,0
4,5,11,0
4,5,12,0
4,5,13,0
4,5,14,0
4,5,15,0
4,5,16,0
4,6,1,1674585691994377945088
4,6,2,2330730953814972563456
4,6,3,239591117380283105280
4,6,4,865166338401044736
4,6,5,24002016267535896
4,6,6,511594571359908.125
4,6,7,2673794481406.708984375
4,6,8,60155253540.4966278076171875
4,6,9,12639.0579944959827117
4,6,10,0
4,6,11,0
4,6,12,0
4,6,13,0
4,6,14,0
4,6,15,0
4,6,16,0
4,7,1,4748017832178981273600
4,7,2,6613205455871483576320
4,7,3,681474272280304418816
4,7,4,2541110253724666880
4,7,5,71508490207266016
4,7,6,1537621687593369.75
4,7,7,8339272600393.6259765625
4,7,8,187652104918.30474853515625
4,7,9,74740.3620516582741402
4,7,10,0
4,7,11,0
4,7,12,0
4,7,13,0
4,7,14,0
4,7,15,0
4,7,16,0
4,8,1,7424598069020692840448
4,8,2,10343651132152175656960
4,8,3,1066893007849470033920
4,8,4,4056876231382113792
4,8,5,115583350929387040
4,8,6,2505615278877903
4,8,7,14064269729729.3203125
4,8,8,316571473791.54425048828125
4,8,9,293534.9824042176478542
4,8,10,0
4,8,11,0
4,8,12,0
4,8,13,0
4,8,14,0
4,8,15,0
4,8,16,0
4,9,1,2862462140545399521280
4,9,2,3971754704774787235840
4,9,3,404689615223601692672
4,9,4,1402484069609357824
4,9,5,39794908452729216
4,9,6,864127417499628.75
4,9,7,4922844281957.34765625
4,9,8,110902006601.409332275390625
4,9,9,574662.0126371557125822
4,9,10,0
4,9,11,0
4,9,12,0
4,9,13,0
4,9,14,0
4,9,15,0
4,9,16,0
4,10,1,0
4,10,2,0
4,10,3,0
4,10,4,0
4,10,5,0
4,10,6,0
4,10,7,0
4,10,8,0
4,10,9,0
4,10,10,0
4,10,11,0
4,10,12,0
4,10,13,0
4,10,14,0
4,10,15,0
4,10,16,0
4,11,1,0
4,11,2,0
4,11,3,0
4,11,4,0
4,11,5,0
4,11,6,0
4,11,7,0
4,11,8,0
4,11,9,0
4,11,10,0
4,11,11,0
4,11,12,0
4,11,13,0
4,11,14,0
4,11,15,0
4,11,16,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,12,5,0
4,12,6,0
4,12,7,0
4,12,8,0
4,12,9,0
4,12,10,0
4,12,11,0
4,12,12,0
4,12,13,0
4,12,14,0
4,12,15,0
4,12,16,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,13,5,0
4,13,6,0
4,13,7,0
4,13,8,0
4,13,9,0
4,13,10,0
4,13,11,0
4,13,12,0
