Time Index,Time,C1,C2,C3,C4
142,18.9497,121.3746342411851202,121.3718937913037337,121.3689186787534879,121.3656913942353697
143,18.9502,121.3746342649935457,121.3718938176258035,121.3689187078380343,121.3656914263527256
144,18.9507,121.3746346458939769,121.3718942387401398,121.3689191731467076,121.3656919401803407
145,18.9585,121.3746350267896901,121.3718946598492039,121.3689196384494551,121.3656924540013051
146,18.959,121.3746354076807137,121.3718950809529673,121.3689201037462766,121.3656929678156473
147,18.9668,121.3746357885670193,121.3718955020514727,121.3689205690371864,121.3656934816233672
148,18.9673,121.3746361694486353,121.3718959231446775,121.3689210343221703,121.3656939954244365
149,18.9751,121.3746365503255333,121.37189634423261,121.3689214996012424,121.3656945092188835
150,18.9756,121.3746369311977276,121.3718967653152703,121.3689219648743887,121.365695023006694
151,18.9834,121.3746373120652322,121.3718971863926299,121.3689224301415948,121.3656955367878538
152,18.9839,121.3746376929280189,121.3718976074647315,121.3689228954029034,121.3656960505624056
153,18.9917,121.3746380737861017,121.3718980285315467,121.368923360658286,121.3656965643303067
154,18.9922,121.3746384546394665,121.3718984495930755,121.368923825907757,121.3656970780915856
155,19,121.3746388354881418,121.3718988706493178,121.3689242911512878,121.365697591846228
156,19.0005,121.3746392163321133,121.3718992917003021,121.3689247563889069,121.3656981055942339
157,19.0083,121.3746395971713667,121.371899712746,121.3689252216206143,121.3656986193356033
158,19.0088,121.3746399780059164,121.3719001337864114,121.3689256868463957,121.3656991330703505
159,19.0166,121.3746403588357623,121.3719005548215364,121.3689261520662512,121.365699646798447
160,19.0171,121.3746405492574212,121.3719007653467514,121.3689263846848689,121.3656999036723789
161,19.021,121.3746407396778864,121.3719009758706306,121.3689266173020087,121.3657001605446339
162,19.0215,121.3746409300971862,121.3719011863932167,121.3689268499176563,121.3657004174152405
163,19.0254,121.3746411205153066,121.3719013969144527,121.368927082531826,121.3657006742841844
164,19.0259,121.3746413109322475,121.3719016074343813,121.3689273151445178,121.3657009311514656
165,19.0298,121.3746415013480089,121.3719018179529883,121.3689275477557317,121.3657011880170842
166,19.0303,121.374641691762605,121.3719020284702879,121.3689277803654676,121.3657014448810543
167,19.0342,121.3746418821760074,121.3719022389862516,121.3689280129737256,121.3657017017433617
168,19.0347,121.3746420725882587,121.3719024495008938,121.3689282455804914,121.3657019586040207
169,19.0386,121.3746422629993162,121.3719026600142286,121.3689284781857793,121.3657022154630027
170,19.0391,121.3746424534092085,121.3719028705262275,121.3689287107896035,121.3657024723203506
171,19.043,121.3746426438179213,121.371903081036919,121.3689289433919214,121.3657027291760215
172,19.0435,121.3746428342254404,121.371903291546289,121.3689291759927897,121.365702986030044
173,19.0474,121.3746430246317942,121.3719035020543373,121.3689294085921517,121.3657032428824039
174,19.0479,121.3746432150369827,121.3719037125610782,121.36892964119005,121.365703499733101
175,19.0518,121.3746434054409917,121.3719039230664691,121.3689298737864561,121.3657037565821497
176,19.0522,121.3746435958438212,121.3719041335705668,121.3689301063813843,121.3657040134295357
177,19.0562,121.374643786245457,121.3719043440733287,121.3689303389748488,121.3657042702752591
178,19.0566,121.374643881447966,121.3719044493266352,121.3689304552737411,121.3657043987005864
179,19.0586,121.3746439766501908,121.3719045545796007,121.3689305715722639,121.3657045271255015
180,19.0591,121.3746440718521029,121.3719046598322251,121.3689306878704315,121.3657046555500045
181,19.061,121.3746441670537308,121.3719047650845368,121.3689308041682153,121.3657047839740812
182,19.0615,121.3746442622550603,121.3719048703365075,121.3689309204656297,121.36570491239776
183,19.0635,121.3746443574560914,121.3719049755881656,121.3689310367626746,121.3657050408210125
184,19.064,121.3746444526568382,121.3719050808394684,121.36893115305935,121.3657051692438529
185,19.0659,121.3746445478572866,121.3719051860904585,121.3689312693556559,121.3657052976662811
186,19.0664,121.3746446430574366,121.3719052913411076,121.3689313856516065,121.3657054260882973
187,19.0684,121.3746447382572882,121.3719053965914441,121.3689315019471593,121.3657055545099013
188,19.0688,121.3746448334568555,121.3719055018414394,121.3689316182423568,121.365705682931079
189,19.0708,121.3746449286561386,121.3719056070910938,121.3689317345371848,121.3657058113518445
190,19.0713,121.3746450238551091,121.3719057123404355,121.3689318508316433,121.3657059397722122
191,19.0732,121.3746451190537954,121.3719058175894361,121.3689319671257323,121.3657060681921394
192,19.0737,121.3746452142521832,121.3719059228381099,121.3689320834194518,121.3657061966116686
193,19.0757,121.3746453094502726,121.3719060280864568,121.3689321997127877,121.3657063250307715
194,19.0762,121.3746453570497437,121.3719060807111134,121.3689322578600098,121.3657063892409553
195,19.0771,121.3746454046491436,121.3719061333356848,121.3689323160071325,121.3657064534510255
196,19.0776,121.3746454522484584,121.3719061859601567,121.3689323741541699,121.3657065176609819
197,19.0786,121.374645499847702,121.3719062385845575,121.3689324323011078,121.3657065818708531
198,19.0791,121.3746455474468746,121.3719062912088873,121.3689324904479463,121.3657066460806107
199,19.0801,121.3746455950459904,121.3719063438331176,121.3689325485946995,121.3657067102902545
200,19.0806,121.3746456426450067,121.3719063964572769,121.3689326067413674,121.365706774499813
201,19.0815,121.3746456902439661,121.3719064490813508,121.3689326648879359,121.3657068387092579
202,19.082,121.3746457378428403,121.3719065017053396,121.3689327230344048,121.3657069029185891
203,19.083,121.3746457854416434,121.371906554329243,121.3689327811807885,121.365706967127835
204,19.0835,121.3746458330403755,121.3719066069530754,121.3689328393270728,121.3657070313369672
205,19.0845,121.3746458806390365,121.3719066595768084,121.3689328974732859,121.365707095546
206,19.085,121.3746459044384665,121.3719066858888027,121.3689329265465204,121.3657071276506656
207,19.0854,121.3746459282378964,121.3719067122007829,121.3689329556197265,121.365707159755317
208,19.0859,121.3746459520372838,121.3719067385127204,121.3689329846929184,121.3657071918599399
209,19.0864,121.3746459758366711,121.3719067648246579,121.3689330137660818,121.3657072239645345
210,19.0869,121.3746459996360301,121.371906791136567,121.3689330428392168,121.3657072560691006
211,19.0874,121.3746460234353748,121.3719068174484477,121.3689330719123376,121.3657072881736383
212,19.0879,121.3746460472347053,121.3719068437603141,121.36893310098543,121.3657073202781476
213,19.0884,121.3746460710339932,121.3719068700721664,121.3689331300585081,121.3657073523826426
214,19.0889,121.374646094833281,121.3719068963839902,121.3689331591315579,121.3657073844871093
215,19.0894,121.3746461186325547,121.3719069226957998,121.3689331882045792,121.3657074165915333
216,19.0898,121.3746461424317999,121.371906949007581,121.3689332172775863,121.3657074486959573
217,19.0903,121.374646166231031,121.371906975319348,121.368933246350565,121.3657074808003244
218,19.0908,121.374646190030262,121.3719070016310866,121.3689332754235295,121.3657075129046916
219,19.0913,121.3746462138294504,121.3719070279428109,121.3689333044964656,121.3657075450090304
220,19.0918,121.3746462376286246,121.3719070542545069,121.3689333335693732,121.3657075771133407
221,19.0923,121.3746462614277846,121.3719070805661886,121.3689333626422666,121.3657076092176226
222,19.0928,121.3746462852269303,121.3719071068778561,121.3689333917151316,121.3657076413218761
223,19.0933,121.3746463090260477,121.3719071331894952,121.3689334207879682,121.3657076734261011
224,19.0938,121.374646689777677,121.3719075541368539,121.3689338859094136,121.3657081870439356
225,19.1016,121.3746470705246168,121.3719079750789547,121.368934351024933,121.3657087006551478
226,19.1021,121.3746472609048084,121.3719081855576292,121.3689345835913826,121.3657089574706163
227,19.106,121.3746474512838205,121.3719083960349963,121.3689348161563402,121.365709214284422
228,19.1064,121.3746476416616531,121.3719086065110275,121.368935048719834,121.3657094710965794
229,19.1104,121.3746478320383062,121.3719088169857514,121.3689352812818356,121.3657097279070598
230,19.1108,121.374648022413794,121.3719090274591679,121.3689355138423593,121.3657099847158918
231,19.1147,121.3746482127881023,121.3719092379312485,121.3689357464014051,121.3657102415230753
232,19.1152,121.3746484031612312,121.3719094484020076,121.3689359789589588,121.3657104983285819
233,19.1191,121.3746485935331805,121.371909658871445,121.3689362115150487,121.3657107551324543
234,19.1196,121.3746487839039645,121.371909869339575,121.3689364440696465,121.3657110119346498
235,19.1235,121.3746489742735548,121.3719100798063835,121.3689366766227806,121.3657112687351969
236,19.124,121.374649164641994,121.3719102902718703,121.3689369091744226,121.3657115255340813
237,19.1279,121.3746493550092396,121.3719105007360355,121.3689371417245866,121.3657117823313172
238,19.1284,121.3746495453753198,121.3719107111988791,121.3689373742732727,121.3657120391268762
239,19.1323,121.3746497357402205,121.3719109216604011,121.3689376068204808,121.3657122959207868
240,19.1328,121.3746499261039276,121.3719111321206157,121.3689378393661968,121.3657125527130489
241,19.1367,121.3746501164664835,121.3719113425794944,121.3689380719104491,121.3657128095036484
242,19.1372,121.3746502116494383,121.3719114478108452,121.3689381881847424,121.3657129379014066
243,19.1392,121.3746503068320948,121.3719115530418833,121.3689383044586663,121.3657130662987527
244,19.1396,121.3746504020144528,121.3719116582725661,121.3689384207322206,121.3657131946956866
245,19.1416,121.3746504971965408,121.3719117635029363,121.3689385370054055,121.3657133230922227
246,19.1421,121.3746505923783161,121.3719118687329654,121.3689386532782208,121.3657134514883182
247,19.144,121.374650687559793,121.3719119739626677,121.3689387695506667,121.3657135798840159
248,19.1445,121.3746507827409857,121.3719120791920432,121.3689388858227289,121.3657137082792872
249,19.1465,121.37465087792188,121.3719121844210918,121.3689390020944359,121.3657138366741464
250,19.147,121.3746509731024759,121.3719122896497993,121.3689391183657733,121.3657139650685934
251,19.1489,121.3746510682827875,121.3719123948781942,121.3689392346367413,121.3657140934626284
252,19.1494,121.3746511634628007,121.371912500106248,121.3689393509073398,121.3657142218562512
253,19.1514,121.3746512586425155,121.3719126053339608,121.3689394671775688,121.3657143502494478
254,19.1519,121.374651353821946,121.3719127105613609,121.3689395834474141,121.3657144786422464
255,19.1538,121.3746514490010782,121.3719128157884199,121.3689396997168899,121.3657146070346187
256,19.1543,121.3746514965910706,121.3719128684024327,121.3689397578521749,121.3657146712314159
257,19.1553,121.3746515441809777,121.3719129210163601,121.3689398159873747,121.3657147354281278
258,19.1558,121.3746515917708138,121.3719129736302165,121.368939874122475,121.3657147996247119
259,19.1567,121.3746516393605788,121.3719130262439734,121.36893993225749,121.3657148638212107
260,19.1572,121.3746516869502727,121.3719130788576592,121.3689399903923913,121.36571492801761
261,19.1582,121.3746517345398956,121.3719131314712456,121.3689400485272216,121.3657149922138956
262,19.1587,121.3746517821294333,121.3719131840847609,121.3689401066619382,121.3657150564100675
263,19.1597,121.3746518297188999,121.371913236698191,121.3689401647965838,121.3657151206061542
264,19.1602,121.3746518773083096,121.37191328931155,121.3689402229311298,121.3657151848021272
265,19.1611,121.3746519248976341,121.3719133419248237,121.3689402810655906,121.3657152489979865
266,19.1616,121.3746519724868733,121.371913394537998,121.3689403391999377,121.3657153131937605
267,19.1626,121.3746520200760557,121.3719134471511012,121.3689403973341996,121.3657153773894208
268,19.1631,121.3746520438707535,121.3719134734577665,121.3689404264014797,121.3657154094874215
269,19.1636,121.3746520676654228,121.3719134997644176,121.3689404554687172,121.3657154415853654
270,19.1641,121.3746520914600779,121.3719135260710544,121.3689404845359405,121.3657154736833093
271,19.1646,121.3746521152547189,121.3719135523776629,121.3689405136031496,121.3657155057812105
272,19.165,121.3746521390493314,121.3719135786842429,121.3689405426703303,121.3657155378791117
273,19.1655,121.3746521628439439,121.3719136049908087,121.3689405717374825,121.3657155699769561
274,19.166,121.374652186638528,121.3719136312973603,121.3689406008046063,121.3657156020747863
275,19.1665,121.3746522104330836,121.3719136576038977,121.3689406298717159,121.365715634172588
276,19.167,121.3746522342276393,121.3719136839103925,121.3689406589387971,121.3657156662703756
277,19.1675,121.3746522580221665,121.3719137102168872,121.3689406880058641,121.3657156983681205
278,19.168,121.3746522818166795,121.3719137365233394,121.3689407170729027,121.3657157304658512
