Time Index,Time,C1,C2,C3,C4
1,0,0,0,0,0
2,0.5,113.2543142841261528,113.2329399693101095,-nan,-nan
3,1,113.2738012238458651,113.2590610354782399,113.2310913038200653,-nan
4,1.5,113.2931598352342775,113.2852206882521529,113.2605261122561018,113.2292427603368168
5,2,113.3123689445101547,113.3112987371925158,113.2900457770195288,113.2606705761086374
6,2.5,113.331453929196158,113.3372663652651511,113.3195150756520775,113.2922113775285311
7,3,113.3504146965181576,113.3631572170210546,113.3489015885644733,113.3237209537841323
8,3.5,113.3507470781785429,113.3636852763834355,113.3496177133646228,113.3246734526298951
9,3.50781,113.3503271365877367,113.3637018321372238,113.3496402185678846,113.3247034734036447
10,3.52344,113.3501270073140006,113.3637183075085488,113.3496627216083255,113.3247334884921145
11,3.53125,113.3497118680926263,113.363734742958485,113.3496852224661069,113.3247634978966545
12,3.54688,113.3496129049039922,113.3637429211502621,113.3496964733736263,113.32477850328101
13,3.55078,113.3491931046896752,113.363751089372613,113.3497077237278319,113.3247935072447348
14,3.56641,113.3490951331644538,113.363759217306395,113.3497189735275015,113.3248085097896478
15,3.57031,113.3486792530136853,113.3637673352801443,113.3497302227675476,113.3248235109148823
16,3.58594,113.348582259347765,113.3637754129756843,113.3497414714468192,113.3248385106223139
17,3.58984,113.3481702448374193,113.3637834807207128,113.3497527195601009,113.3248535089111755
18,3.60547,113.3480742154818017,113.3637915081981191,113.3497639671063126,113.3248685057831153
19,3.60938,113.3476660131915281,113.3637995257345068,113.3497752140802959,113.3248835012374656
20,3.625,113.3475709348462459,113.3638075030139305,113.3497864604808711,113.3248984952759884
21,3.62891,113.3473683423500518,113.3638114868455915,113.349792083785232,113.324905992465915
22,3.63672,113.3472694948343786,113.3638154606155268,113.3497977069446563,113.3249134893017924
23,3.64062,113.3470680240273936,113.3638194293776849,113.3498033299584336,113.3249209857836917
24,3.64844,113.3469697359371793,113.3638233880796236,113.3498089528263506,113.3249284819116696
25,3.65234,113.3467693775982355,113.3638273417752345,113.3498145755476969,113.324935977685854
26,3.66016,113.3466716443402618,113.3638312854123029,113.349820198122174,113.3249434731061456
27,3.66406,113.3464723893490458,113.3638352240445499,113.349825820549114,113.3249509681727716
28,3.67188,113.346375206380344,113.363839152619903,113.349831442828318,113.324958462885661
29,3.67578,113.3461770457157627,113.3638430761919409,113.3498370649590186,113.3249659572449559
30,3.68359,113.3461287051919868,113.3638450329895306,113.3498398760482644,113.3249697044674207
