Time Index,Time,C1,C2,C3,C4
1,0,0,0,0,0
2,0.5,45.6731430778593577,62.9071888718389474,-nan,-nan
3,1,51.584559930470725,46.544520157024678,62.9061618354555918,-nan
4,1.5,57.5233386726506737,52.4635353972073517,46.8800021597222383,62.9051348668537855
5,2,64.3353557968242029,58.4027672323440612,52.8259527807182963,47.0575053574892479
6,2.5,70.894061919926628,65.2739397408993227,58.8171377721506303,53.0286492827972467
7,3,76.1681737794989715,71.5477045963827436,65.7497069681373603,59.067992834758769
8,3.5,80.5814317876719031,76.4544481080222056,71.9208454801347585,66.0484009341776073
9,4,84.7977200175995165,81.0383532782389011,76.782537849180116,72.1675893144096676
10,4.5,88.7371902743090146,85.2104556126345756,81.3338168135647805,77.0088524554217457
11,5,91.9892602631708201,89.1272332605884969,85.4908812040365973,81.5451570565736574
12,5.5,94.2945789960775613,92.2580262263800677,89.4021473233035522,85.697274101294397
13,6,96.0352926937599705,94.5031168333466667,92.4518975066581561,89.6089932477866853
14,6.5,97.3793271488640784,96.1998812637911129,94.6545647702529891,92.5976745370124661
15,7,98.4455607441111624,97.5109685320931163,96.320658458264063,94.7699450963591516
16,7.5,99.2891571903945618,98.5517796872409377,97.6089142085292139,96.4136923829770893
17,8,99.974590024982561,99.3767880961588901,98.6319909911603219,97.6847407597201141
18,8.5,100.5387530522936856,100.0476114002800756,99.4435260701688861,98.6947796044218251
19,9,101.0086239118209335,100.600105153869805,100.1036680395002492,99.4962399010475025
20,9.5,101.4051025812906914,101.0614500719835007,100.6475877457626069,100.1482346797408525
21,10,101.7452769560718053,101.4494612294124778,101.1019931458928909,100.6855638963466788
22,10.5,102.034461963671987,101.7833608294356367,101.4842895614098239,101.1345731576614497
23,11,102.2857004939620964,102.06745176824829,101.8134607462833685,101.5124472626953605
24,11.5,102.506141845917881,102.3144791756191267,102.0936871425060701,101.8379160974348423
25,12,102.7014272633990686,102.5314223531298694,102.3375034115284592,102.1151069122869046
26,12.5,102.8761093289195827,102.7237898953693502,102.5517658304912487,102.3563895282128442
27,13,103.0336890900594256,102.8960273110359225,102.7418874434640514,102.5685293386962513
28,13.5,103.1771520251224672,103.0515550348905265,102.91223575834087,102.7569267151434502
29,14,103.308870579134819,103.1932882140561247,103.0661722694759561,102.9257109073591892
30,14.5,103.4307807657782803,103.3235438496248833,103.206559982257815,103.0783771291391133
31,15,103.5444686497612139,103.4442126187214086,103.3356745759320887,103.2176885067872547
32,15.5,103.6512534083475146,103.556861055853247,103.4553727097969613,103.3458886697321475
33,16,103.7521767519394587,103.6627240223447046,103.5671923616212382,103.4648077574505578
34,16.5,103.8481445749629728,103.7628719008901754,103.6723460134728043,103.5759613685663396
35,17,103.9398936104576876,103.8581711865771666,103.7718840752308012,103.6805443943241869
36,17.5,104.0280260261464917,103.9493409116327172,103.866656826189768,103.779591455789614
37,18,104.1130479308970678,104.0369687815595228,103.9573696422566229,103.8739399668812808
38,18.5,104.195375050412764,104.1215484833450944,104.0445990286653597,103.9642844244975919
39,19,104.2753502923312823,104.2034854429457056,104.1288290006094428,104.051192384228429
40,19.5,104.3532555314966714,104.2831139253957247,104.210456933325915,104.1351400993636389
41,20,104.4293213360263479,104.360708547059744,104.2898103092872759,104.2165184635856292
42,20.5,104.5037350405091132,104.4364937774476942,104.3671580269575259,104.2956494806803676
43,21,104.5766474863556681,104.5106518275433842,104.4427197346764302,104.3727974158349525
44,21.5,104.6481786822899238,104.5833292371968355,104.516673579926632,104.4481779991350834
45,22,104.7184225856509698,104.6546424085921814,104.5891626811647512,104.521966066503154
46,22.5,104.7874511641615811,104.7246822816622682,104.6603005649045883,104.5943019412135726
47,23,104.8553178655421618,104.7935183072403191,104.730175760430825,104.6652967953995983
48,23.5,104.92206059685941,104.8612018422060999,104.7988557051060923,104.7350371812752314
49,24,104.9877042953128097,104.9277690659906028,104.8663900822353128,104.8035888828758146
50,24.5,105.0522631561358224,104.9932434980962057,104.9328136889885457,104.8710002085249897
51,25,105.1157425705425936,105.057638180648965,104.9981489125254797,104.9373048200993424
52,25.5,105.1781408164997487,105.1209575775661165,105.0624078771071197,105.0025241760684764
53,26,105.239450537013596,105.1831992320225595,105.1255943127759167,105.0666696501479151
54,26.5,105.2996600341759716,105.2443552160156344,105.1877051864734938,105.1297443753733063
55,27,105.358754402077949,105.3044133995458509,105.2487321287317457,105.1917448538366102
56,27.5,105.4167165176182976,105.3633585619313635,105.3086626829150561,105.2526623647085415
57,28,105.4735279049931194,105.4211733638000368,105.3674813990917016,105.3124841971091001
58,28.5,105.529169487090968,105.4778391951506507,105.4251707907192639,105.3711947295658717
59,29,105.5836222349958433,105.5333369123827225,105.4817121692426412,105.4287763739698534
60,29.5,105.6368677252149268,105.5876474752306251,105.5370863692638892,105.4852103989026944
61,30,105.6888886130059717,105.6407524929965263,105.5912743750219676,105.5404776448119435
