dim_1,dim_2,dim_3,value
1,6,5,-5.11187e+10
1,6,6,-6.18552e+08
1,6,7,-2.87094e+08
1,6,8,-1.75428e+07
1,6,9,-524.4
1,6,10,0.1743100080812802
1,6,11,0.0000034254805335
1,6,12,0.0000000000062557
1,6,13,-2.22181e-18
1,6,14,9.40331e-24
1,6,15,1.01713e-29
1,6,16,0
1,7,1,-5.20549e+11
1,7,2,-2.10917e+12
1,7,3,-1.64484e+12
1,7,4,-4.84739e+11
1,7,5,-1.1033e+11
1,7,6,-1.16573e+10
1,7,7,-1.77317e+08
1,7,8,-5.85309e+07
1,7,9,56405.7589681522003957
1,7,10,9.9434695440630385
1,7,11,0.000894210033686
1,7,12,0.0000000035176511
1,7,13,0.0000000000000149
1,7,14,-1.88875e-20
1,7,15,-1.86591e-26
1,7,16,0
1,8,1,-6.63984e+11
1,8,2,-2.7494e+12
1,8,3,-1.48836e+12
1,8,4,118616907225.9635009765625
1,8,5,296973695111.79779052734375
1,8,6,34341765765.2131843566894531
1,8,7,357241647.5930869579315186
1,8,8,-5.97613e+07
1,8,9,592608.3059689709916711
1,8,10,984.4727260695391351
1,8,11,0.169685980031504
1,8,12,0.0000040406334083
1,8,13,0.0000000000109964
1,8,14,2.67506e-17
1,8,15,2.42735e-23
1,8,16,0
1,9,1,-1.64898e+10
1,9,2,227535093587.2608642578125
1,9,3,1046776896098.6009521484375
1,9,4,1764542091346.9853515625
1,9,5,788586324034.2064208984375
1,9,6,117880376130.8951263427734375
1,9,7,7399410570.8998699188232422
1,9,8,331926908.7090409398078918
1,9,9,267929.5639074869104661
1,9,10,14492.1228273339329462
1,9,11,1.4217530399710805
1,9,12,0.0000270520108336
1,9,13,0.0000000001178904
1,9,14,0.0000000000000002
1,9,15,6.17432e-23
1,9,16,0
1,10,1,683299117.2664909362792969
1,10,2,25520399199.5871543884277344
1,10,3,162635590380.621795654296875
1,10,4,255468148775.74896240234375
1,10,5,143350762545.094940185546875
1,10,6,21219298916.4173545837402344
1,10,7,1496430744.456653356552124
1,10,8,77181408.3430706858634949
1,10,9,2682516.0720319994725287
1,10,10,3106.4994718702937462
1,10,11,14.1539603778625693
1,10,12,0.0002384722974419
1,10,13,0.0000000010012392
1,10,14,0.000000000000001
1,10,15,2.99424e-21
1,10,16,0
1,11,1,8827584.0800973232835531
1,11,2,408924595.5292686223983765
1,11,3,3133571573.488917350769043
1,11,4,7568802471.1942710876464844
1,11,5,4352115625.0176267623901367
1,11,6,1062005833.1681320667266846
1,11,7,59724419.9516564458608627
1,11,8,2546406.1200351808220148
1,11,9,114984.055889836003189
1,11,10,2236.1168511543646673
1,11,11,1.3354819619291944
1,11,12,0.0015669084001577
1,11,13,0.0000000399234907
1,11,14,0.0000000000000396
1,11,15,1.13727e-20
