dim_1,dim_2,dim_3,value
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
2,1,1,153635173.833320140838623
2,1,2,66227.3253449628246017
2,1,3,32.4961867700443463
2,1,4,0.0015127390712201
2,1,5,0.0000000571062451
2,1,6,0.0000000000057212
2,1,7,-5.57371e-19
2,1,8,6.28069e-23
2,1,9,3.49211e-32
2,1,10,0
2,1,11,0
2,1,12,0
2,1,13,0
2,1,14,0
2,1,15,0
2,1,16,0
2,2,1,66320.4712497484433698
2,2,2,60781032.1105467677116394
2,2,3,48108.037706101371441
2,2,4,6.970084852958391
2,2,5,0.0005711854504327
2,2,6,0.000000090812975
2,2,7,0.000000000000034
2,2,8,-4.13739e-18
2,2,9,-7.19936e-27
2,2,10,0
2,2,11,0
2,2,12,0
2,2,13,0
2,2,14,0
2,2,15,0
2,2,16,0
2,3,1,368.8409730787920466
2,3,2,269538.9435989373596385
2,3,3,25173173.4578338414430618
2,3,4,13117.975023484446865
2,3,5,2.3291037054960668
2,3,6,0.0005151308862638
2,3,7,0.0000000008919409
2,3,8,0.0000000000000724
2,3,9,4.92903e-22
2,3,10,0
2,3,11,0
2,3,12,0
2,3,13,0
2,3,14,0
2,3,15,0
2,3,16,0
2,4,1,3.2297865860411505
2,4,2,2541.5034391225199215
2,4,3,295274.9442391849006526
2,4,4,10731867.4040234312415123
2,4,5,4770.4045077424489136
2,4,6,1.4676479746267188
2,4,7,0.0000102641443143
2,4,8,0.0000000008497836
2,4,9,-1.22733e-17
2,4,10,0
2,4,11,0
2,4,12,0
2,4,13,0
2,4,14,0
2,4,15,0
2,4,16,0
2,5,1,0.0303859666236734
2,5,2,30.7712244493861711
2,5,3,4595.8136093573957623
2,5,4,248258.8500141710683238
2,5,5,4482556.6461548861116171
2,5,6,2220.5133936539223214
2,5,7,0.0626081468078755
2,5,8,0.0000046332599466
2,5,9,0.0000000000000785
2,5,10,0
2,5,11,0
2,5,12,0
2,5,13,0
2,5,14,0
2,5,15,0
2,5,16,0
2,6,1,0.000247324218051
2,6,2,0.4025944979494708
2,6,3,84.7279931697297712
2,6,4,6448.4240206673302964
2,6,5,189779.9164891654800158
2,6,6,1569154.4431705730967224
2,6,7,206.1942810731117959
2,6,8,0.0136289296909713
2,6,9,0.0000000009109296
2,6,10,0
2,6,11,0
2,6,12,0
2,6,13,0
2,6,14,0
2,6,15,0
2,6,16,0
2,7,1,0.0000002649118132
2,7,2,0.0011385043490966
2,7,3,0.4074508503962238
2,7,4,46.2003045337136058
2,7,5,2023.0657413444821486
2,7,6,28757.0497497925571224
2,7,7,318959.5537256685784087
2,7,8,21.7675595620739308
2,7,9,0.00000573515566
2,7,10,0
2,7,11,0
2,7,12,0
2,7,13,0
2,7,14,0
2,7,15,0
2,7,16,0
2,8,1,0.0000000001055019
2,8,2,0.0000007174519237
2,8,3,0.0007033483643871
2,8,4,0.1407234624192719
2,8,5,9.5227259753983144
2,8,6,209.0126831126360685
2,8,7,4145.342636027118715
2,8,8,16349.845383207557461
2,8,9,0.0196408366413102
2,8,10,0
2,8,11,0
2,8,12,0
2,8,13,0
2,8,14,0
2,8,15,0
2,8,16,0
2,9,1,0.0000000000000002
2,9,2,0.0000000000066819
2,9,3,0.0000000106372555
2,9,4,0.0000059846165415
2,9,5,0.0007331325361328
2,9,6,0.0255092404857897
2,9,7,0.8014693375761356
2,9,8,5.7786920048990567
2,9,9,31.6641115742467605
2,9,10,0
2,9,11,0
2,9,12,0
2,9,13,0
2,9,14,0
2,9,15,0
2,9,16,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,0
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,10,11,0
2,10,12,0
2,10,13,0
2,10,14,0
2,10,15,0
2,10,16,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,0
2,11,11,0
2,11,12,0
2,11,13,0
2,11,14,0
2,11,15,0
2,11,16,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,12,5,0
2,12,6,0
2,12,7,0
2,12,8,0
2,12,9,0
2,12,10,0
2,12,11,0
2,12,12,0
2,12,13,0
2,12,14,0
2,12,15,0
2,12,16,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,13,5,0
2,13,6,0
2,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
2,13,11,0
2,13,12,0
2,13,13,0
2,13,14,0
2,13,15,0
2,13,16,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
2,14,5,0
2,14,6,0
2,14,7,0
2,14,8,0
2,14,9,0
2,14,10,0
2,14,11,0
2,14,12,0
2,14,13,0
2,14,14,0
2,14,15,0
2,14,16,0
2,15,1,0
2,15,2,0
2,15,3,0
2,15,4,0
2,15,5,0
2,15,6,0
2,15,7,0
2,15,8,0
2,15,9,0
2,15,10,0
2,15,11,0
2,15,12,0
2,15,13,0
2,15,14,0
2,15,15,0
2,15,16,0
2,16,1,0
2,16,2,0
